handleId;fieldType;name;description;productImageUrl;collection;sku;ribbon;price;surcharge;visible;discountMode;discountValue;inventory;weight;productOptionName1;productOptionType1;productOptionDescription1;productOptionName2;productOptionType2;productOptionDescription2;productOptionName3;productOptionType3;productOptionDescription3;productOptionName4;productOptionType4;productOptionDescription4;productOptionName5;productOptionType5;productOptionDescription5;productOptionName6;productOptionType6;productOptionDescription6;additionalInfoTitle1;additionalInfoDescription1;additionalInfoTitle2;additionalInfoDescription2;additionalInfoTitle3;additionalInfoDescription3;additionalInfoTitle4;additionalInfoDescription4;additionalInfoTitle5;additionalInfoDescription5;additionalInfoTitle6;additionalInfoDescription6;customTextField1;customTextCharLimit1;customTextMandatory1
Product_148;Product;Monte Cascas Lameiras Douro Rouge 2013;;;"Douro;2013;Casca Wines;Rouge";DOU-CAW-CASCASLAM-T-2013;;44.40;;TRUE;;;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product_149;Product;Monte Cascas Grande Reserva Rouge 2011;;;"Douro;2011;Casca Wines;Rouge";DOU-CAW-CASCASGRSV-T-2011;;30.20;;TRUE;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product_150;Product;Monte Cascas Grande Reserva Blanc 2012;;;"Douro;2012;Casca Wines;Blanc";DOU-CAW-CASCASGRSV-B-2012;;30.20;;TRUE;;;31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product_151;Product;Monte Cascas Reserva Minho Blanc 2012;;;"Minho;2012;Casca Wines;Blanc";VVM-CAW-CASCASRSV-B-2012;;15.50;;TRUE;;;26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product_152;Product;Cabo da Roca Regional Peninsula de Setubal Blanc 2017;;;"Lisboa;2017;Casca Wines;Blanc";SET-CAW-ROCASET-B-2017;;9.00;;TRUE;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product_153;Product;Cabo da Roca Regional Peninsula de Setubal Rouge 2016;;;"Lisboa;2016;Casca Wines;Rouge";SET-CAW-ROCASET-T-2016;;9.00;;TRUE;;;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product_154;Product;Monte Cascas Fernão Pires Verde Blanc 2013;;;"Lisboa;2013;Casca Wines;Blanc";LIS-CAW-CASCASVV-B-2013;;35.00;;TRUE;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product_155;Product;Maias Bio Blanc 2017;;;"Dao;2017;Quinta das Maias BIO;Blanc";Dao-MAI-MAIASBIO-B-2017;;11.80;;TRUE;;;46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product_156;Product;Maias Bio Rouge 2015;;;"Dao;2015;Quinta das Maias BIO;Rouge";Dao-MAI-MAIASBIO-T-2015;;11.80;;TRUE;;;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product_157;Product;Quinta das Maias Jaen Rouge 2016;;;"Dao;2016;Quinta das Maias BIO;Rouge";Dao-MAI-MAIASJAEN-T-2016;;24.00;;TRUE;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product_158;Product;Quinta das Maias Gouveio Blanc 2015;;;"Dao;2015;Quinta das Maias BIO;Blanc";Dao-MAI-MAIASGOUV-B-2015;;20.00;;TRUE;;;29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product_159;Product;Flor das Maias Rouge 2007;;;"Dao;2007;Quinta das Maias BIO;Rouge";Dao-MAI-FLORMAIAS-T-2007;;37.00;;TRUE;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product_160;Product;Quinta do Correio Blanc 2017;;;"Dao;2017;Quinta dos Roques ;Blanc";Dao-ROQ-CORREIO-B-2017;;9.30;;TRUE;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product_161;Product;Quinta do Correio Rouge 2016;;;"Dao;2016;Quinta dos Roques ;Rouge";Dao-ROQ-CORREIO-T-2016;;9.70;;TRUE;;;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product_162;Product;Quinta do Correio Rosé 2018;;;"Dao;2018;Quinta dos Roques ;Rosé";Dao-ROQ-CORREIO-R-2018;;9.70;;TRUE;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product_163;Product;Quinta dos Roques Blanc 2017;;;"Dao;2017;Quinta dos Roques ;Blanc";Dao-ROQ-ROQUES-B-2017;;12.90;;TRUE;;;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product_164;Product;Quinta dos Roques Blanc 2016;;;"Dao;2016;Quinta dos Roques ;Blanc";Dao-ROQ-ROQUES-B-2016;;12.90;;TRUE;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product_165;Product;Quinta dos Roques Rouge 2016;;;"Dao;2016;Quinta dos Roques ;Rouge";Dao-ROQ-ROQUES-T-2016;;14.60;;TRUE;;;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product_166;Product;Quinta dos Roques Rouge 2014;;;"Dao;2014;Quinta dos Roques ;Rouge";Dao-ROQ-ROQUES-T-2014;;14.60;;TRUE;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product_167;Product;Quinta dos Roques Reserva Rouge 2016;;;"Dao;2016;Quinta dos Roques ;Rouge";Dao-ROQ-ROQUESRSV-T-2016;;14.60;;TRUE;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product_168;Product;Quinta dos Roques Encruzado Blanc 2015;;;"Dao;2015;Quinta dos Roques ;Blanc";Dao-ROQ-ROQUESENC-B-2015;;19.50;;TRUE;;;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product_169;Product;Grandalhão Rouge 2013;;;"Dao;2013;Ignorante Wines;Rouge";Dao-IGN-GRANDALHAO-T-2013;;12.50;;TRUE;;;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product_170;Product;5ª Do Lagar Novo Blanc 2016;;;"Lisboa;2016;Quinta do Lagar Novo;Blanc";LIS-QLN-LAGARNOVO-B-2016;;12.50;;TRUE;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product_171;Product;5ª do Lagar Novo - Viognier Blanc 2015;;;"Lisboa;2015;Quinta do Lagar Novo;Blanc";LIS-QLN-LAGARNOVOV-B-2015;;13.90;;TRUE;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product_172;Product;Quinta do Lagar Novo Viognier Reserva Blanc 2015;;;"Lisboa;2015;Quinta do Lagar Novo;Blanc";LIS-QLN-LAGARNOVOVRSV-B-2015;;18.00;;TRUE;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product_173;Product;Quinta do Lagar Novo Chardonnay Reserva Blanc 2015;;;"Lisboa;2015;Quinta do Lagar Novo;Blanc";LIS-QLN-LAGARNOVOCRSV-B-2015;;18.00;;TRUE;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
