handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2
LV72QD46,Product,Angas Park Fruit Mix Medley 375g,,https://cdn1.woolworths.media/content/wowproductimages/medium/055432.jpg,Pantry;Baking,,,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS19LL22,Product,Angas Park Fruit Mix Salad 500g,,https://cdn1.woolworths.media/content/wowproductimages/medium/057242.jpg,Pantry;Baking,,,11.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS10MH65,Product,Angas Park Fruit Mixed Peel Oranges & Lemons 200g,,https://cdn1.woolworths.media/content/wowproductimages/medium/027649.jpg,Pantry;Baking,,,3.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GW75EB65,Product,Angas Park Mediterranean Apricot Soft & Juicy 225g,,https://cdn1.woolworths.media/content/wowproductimages/medium/205662.jpg,Pantry;Baking,,,9.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WI25YY38,Product,Angas Park Medjool Dates 200g,,https://cdn1.woolworths.media/content/wowproductimages/medium/466088.jpg,Pantry;Baking,,,8.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JM77TC66,Product,Angas Park Peaches Dried 200g,,https://cdn1.woolworths.media/content/wowproductimages/medium/038181.jpg,Pantry;Baking,,,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UO69SG11,Product,Angas Park Prunes Large 1kg,,https://cdn1.woolworths.media/content/wowproductimages/medium/039152.jpg,Pantry;Baking,,,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WB34NE99,Product,Angus Park Cranberries 6pk 180g,,https://cdn1.woolworths.media/content/wowproductimages/medium/841633.jpg,Pantry;Baking,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NB13DI95,Product,Angus Park Cranberries Raisins & Blueberrys 6pk 180g,,https://cdn1.woolworths.media/content/wowproductimages/medium/841634.jpg,Pantry;Baking,,,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VI62AX64,Product,Apricots Loose per 100g,,https://cdn1.woolworths.media/content/wowproductimages/medium/767074.jpg,Pantry;Baking,,,3.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
